110 38 6 3 1 33 	4492 23
130	63 9 3 1 35	4117 23
150	57 5 2 1 35	4254 24
130	56 9 3 1 37	3608 21
132	65 9 3 1 35	3846 21
132	62 7 2 1 33	4090 21
130	58 7 2 1 35	4098 21
140	66 6 3 1 34	4000 23
130	70 6 3 1 34	4017 23
100	61 7 2 1 35	4096 23
110	73 8 3 1 36	3908 23
150	60 9 3 1 36	3765 25
130	65 5 2 1 35	3842 23
150	65 8 3 1 38 3753	25
170	65 8 3 1 38	3507 23
140	62 9 3 1 36 3809	23
170	74 9 2 1 35	4021 24
180	60 4 1 1 36	4109 23
210	74 3 1 0 37 4094	24
207	87 4 1 0 36	4231 26
198	89 4 3 1 38	3286 23
198	94 8 3 0 37	3285 22
198	94 6 1 0 38	3504 22
198	99 7 3 1 38	3914 23
198	100 7 3	1 39 3983 22
